"name","sport","height","weight","age","link","img","gender"
"Aaron Russell","volleyball",81,205,23.186301369863,"http://www.teamusa.org/usa-volleyball/athletes/Aaron-Russell","http://www.teamusa.org/~/media/USA_Volleyball/Images/Athlete-Head-Shots/Men-Indoor/USA2AaronRussell.jpg","M"
"AbbeyWeitzeil","swimming",70,150,19.6849315068493,"http://www.teamusa.org/usa-swimming/athletes/Abbey-Weitzeil","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Weitzeil_abbey_150x250.jpg","F"
"Abby Johnston","diving",65,135,26.7369863013699,"http://www.teamusa.org/usa-diving/athletes/Abby-Johnston","http://www.teamusa.org/~/media/USA-Diving/Headshots/Johnston-Abby-headshot.jpg","F"
"Adeline Gray","wrestling",68,170,25.572602739726,"http://www.teamusa.org/USA-Wrestling/Athlete-Bios/GR/Adeline-Gray","http://www.teamusa.org/~/media/USA_Wrestling/Athlete-Bios/2015-Athlete-Mugs/AdelineGray150x250.jpg","F"
"Adrienne Martelli","rowing",73,170,28.6931506849315,"http://www.teamusa.org/us-rowing/athletes/Adrienne-Martelli","http://www.teamusa.org/~/media/TeamUSA/Rowing/Misc/martelli_adrienne_150x250.jpg","F"
"Alev Kelter","rugby",66,165,25.3945205479452,"http://www.teamusa.org/usa-rugby/athletes/Alev-Kelter","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Rugby-Women/Rugby_Women_Kelter_Alev.jpg","F"
"Alex Bowen","water polo",77,220,22.9342465753425,"http://www.teamusa.org/usa-water-polo/athletes/Alex-Bowen","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Water-Polo-Men/Water_Polo_Men_Bowen_Alex.jpg","M"
"Alex Karwoski","rowing",76,200,25.9041095890411,"http://www.teamusa.org/us-rowing/athletes/Alex-Karwoski","http://www.teamusa.org/~/media/TeamUSA/Rowing/Karwoski_Alex/Karwoski_Alex_150x250.jpg","M"
"Alex Morgan","soccer",68,137,27.1123287671233,"http://www.teamusa.org/us-soccer/athletes/Alex-Morgan","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Soccer/Morgan_Alex_150x250.jpg","F"
"Alex Naddour","gymnastics",67,155,25.441095890411,"http://www.teamusa.org/usa-gymnastics/athletes/Alex-Naddour","http://www.teamusa.org/~/media/TeamUSA/Headshots/naddour_alex_150x250.jpg","M"
"Alex Obert","water polo",78,233,24.6493150684932,"http://www.teamusa.org/usa-water-polo/athletes/Alex-Obert","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Water-Polo-Men/Water_Polo_Men_Obert_Alex.jpg","M"
"Alex Roelse","water polo",79,255,21.5835616438356,"http://www.teamusa.org/usa-water-polo/athletes/Alex-Roelse","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Water-Polo-Men/Water_Polo_Men_Roelse_Alex.jpg","M"
"Alexander Massialas","fencing",74,170,22.3095890410959,"http://www.teamusa.org/usa-fencing/athletes/Alexander-Massialas","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Fencing/Fencing_Massialas_Alexander.jpg","M"
"Ali Krieger","soccer",66,138,32.0438356164384,"http://www.teamusa.org/us-soccer/athletes/Ali-Krieger","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Soccer/Krieger_Ali_150x250.jpg","F"
"Alisa Kano","gymnastics",64,105,21.758904109589,"http://www.teamusa.org/usa-gymnastics/athletes/Alisa-Kano","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Gymnastics-Women/Gymnastics_Rhythmic_Kano_Alisa.jpg","M"
"Alise Post","cycling",62,125,25.5671232876712,"http://www.teamusa.org/usa-cycling/athletes/Alise-Post","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Cycling-Women/Cycling_BMX_Post_Alise.jpg","M"
